index,npc,image_type,situation,text
32,ENS_COACH,3,ENSS_STANDING_BY,구종을 아무리 많이 보유하고 있어도 볼 배합이 나쁘다면 매번 엊어 맞기 쉽상이지.
33,ENS_COACH,1,ENSS_STANDING_BY,변화구는 시합에 다섯개까지 들고 나갈 수 있어.
34,ENS_COACH,7,ENSS_STANDING_BY,이런 바보! 변화구 습득 시에 제스처는 기본으로 제공 된다구...
35,ENS_COACH,4,ENSS_STANDING_BY,포크, 싱커, 슈트는 기본 제공이 아니야… 사서 배워~ 호호홋~
36,ENS_COACH,2,ENSS_STANDING_BY,지금 제스처가 맘에 안들어? 그럼 장착으로 가서 제스처를 변경 해~ 
37,ENS_COACH,3,ENSS_STANDING_BY,이봐~ 내 몸매에 집중 말고 폼을 보라구~
38,ENS_COACH,4,ENSS_SELECTION,{BREAKING BALL NAME}의 훈련에는 {X}볼이 필요 하다구~ 베이비~
39,ENS_COACH,1,ENSS_SELECTION,{BREAKING BALL NAME}의 훈련에는 {X}볼이 필요해~ 강해지고 싶다면 대가를 지불 해야지?
40,ENS_COACH,7,ENSS_SELECTION,{BREAKING BALL NAME}의 훈련에는 {X}볼이 필요해~ 디스카운트는 없어!
41,ENS_COACH,2,ENSS_COMPLETE,{BREAKING BALL NAME}의 훈련이 끝났으니 확인 해~ 
42,ENS_COACH,7,ENSS_COMPLETE,뭐야! 왜 이렇게 늦게와!
43,ENS_COACH,3,ENSS_COMPLETE,흐음… 딱 맞추어 와 주었군~
44,ENS_COACH,2;3,ENSS_TRANING_WORKING,{BREAKING BALL NAME}의 훈련는 {X}일 {X}시간 {X}분이 남았어.
45,ENS_COACH,2,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 힘내라구~
46,ENS_COACH,3,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 다음엔 더 잘하라구~
47,ENS_COACH,7,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 이것 밖에 못해?
48,ENS_COACH,4,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 이번 만큼만 해 주면 너에게 반할지도 몰라~ 호호홋
49,ENS_COACH,7,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 매일 노는 것 같더니 역시… 똑바로 못해?
50,ENS_COACH,4,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 역시 넌 재능이 있었어!
51,ENS_COACH,3,ENSS_TRANING_RESULT,이번 훈련으로 {BREAKING BALL NAME}의 습득까지 {X%} 남았어~ 그냥 포기 하는게 어때? 베이비?
52,ENS_COACH,5,ENSS_TRANING_RESULT,오호! 축하해! {BREAKING BALL NAME}를 습득했어!
53,ENS_COACH,4,ENSS_TRANING_RESULT,오호! 축하해! {BREAKING BALL NAME}를 습득했어! 하지만 이 정도로 데이트 해 주진 않아!
54,ENS_COACH,5,ENSS_TRANING_RESULT,드디어 {BREAKING BALL NAME}를 습득했군! 멋진걸? 
55,ENS_COACH,6,ENSS_TRANING_RESULT,드디어 {BREAKING BALL NAME}를 습득했군! 하지만 자만은 금물이야~
56,ENS_COACH,6,ENSS_TRANING_RESULT,좋아! 잘했어! {BREAKING BALL NAME}는 이제 니꺼야! 호호홋
