sid,name,level,max_exp,max_cum_exp,better_accuracy_sq,better_accuracy_op,better_accuracy_cl,better_power_sq,better_power_op,better_power_cl,pitcher_speed_ov,pitcher_speed_tq,pitcher_speed_sa,pitcher_speed_un,pitcher_focus_ov,pitcher_focus_tq,pitcher_focus_sa,pitcher_focus_un,pitcher_breakingball_ov,pitcher_breakingball_tq,pitcher_breakingball_sa,pitcher_breakingball_un
44,Lv44,44,1440,25890,46,45,47,46,47,45,48,47,46,45,45,46,47,48,7,7,7,7
45,Lv45,45,1470,27360,47,46,48,47,48,46,49,48,47,46,46,47,48,49,7,7,7,7
46,Lv46,46,1500,28860,48,47,49,48,49,47,50,49,48,47,47,48,49,50,7,7,7,7
47,Lv47,47,1530,30390,49,48,50,49,50,48,51,50,49,48,48,49,50,51,7,7,7,7
48,Lv48,48,1560,31950,50,49,51,50,51,49,52,51,50,49,49,50,51,52,7,7,7,7
49,Lv49,49,1590,33540,51,50,52,51,52,50,53,52,51,50,50,51,52,53,7,7,7,7
50,Lv50,50,1830,35370,52,51,53,52,53,51,54,53,52,51,51,52,53,54,7,7,7,7
51,Lv51,51,1860,37230,53,52,54,53,54,52,55,54,53,52,52,53,54,55,8,8,8,8
52,Lv52,52,1890,39120,54,53,55,54,55,53,56,55,54,53,53,54,55,56,8,8,8,8
53,Lv53,53,1920,41040,55,54,56,55,56,54,57,56,55,54,54,55,56,57,8,8,8,8
54,Lv54,54,1950,42990,56,55,57,56,57,55,58,57,56,55,55,56,57,58,8,8,8,8
55,Lv55,55,1980,44970,57,56,58,57,58,56,59,58,57,56,56,57,58,59,8,8,8,8
56,Lv56,56,2010,46980,58,57,59,58,59,57,60,59,58,57,57,58,59,60,8,8,8,8
57,Lv57,57,2040,49020,59,58,60,59,60,58,61,60,59,58,58,59,60,61,8,8,8,8
58,Lv58,58,2070,51090,60,59,61,60,61,59,62,61,60,59,59,60,61,62,8,8,8,8
59,Lv59,59,2100,53190,61,60,62,61,62,60,63,62,61,60,60,61,62,63,8,8,8,8
60,Lv60,60,2130,55320,62,61,63,62,63,61,64,63,62,61,61,62,63,64,8,8,8,8
61,Lv61,61,2460,57780,63,62,64,63,64,62,65,64,63,62,62,63,64,65,9,9,9,9
62,Lv62,62,2490,60270,64,63,65,64,65,63,66,65,64,63,63,64,65,66,9,9,9,9
63,Lv63,63,2520,62790,65,64,66,65,66,64,67,66,65,64,64,65,66,67,9,9,9,9
64,Lv64,64,2550,65340,66,65,67,66,67,65,68,67,66,65,65,66,67,68,9,9,9,9
65,Lv65,65,2580,67920,67,66,68,67,68,66,69,68,67,66,66,67,68,69,9,9,9,9
66,Lv66,66,2610,70530,68,67,69,68,69,67,70,69,68,67,67,68,69,70,9,9,9,9
67,Lv67,67,2640,73170,69,68,70,69,70,68,71,70,69,68,68,69,70,71,9,9,9,9
68,Lv68,68,2670,75840,70,69,71,70,71,69,72,71,70,69,69,70,71,72,9,9,9,9
69,Lv69,69,2700,78540,71,70,72,71,72,70,73,72,71,70,70,71,72,73,9,9,9,9
70,Lv70,70,2730,81270,72,71,73,72,73,71,74,73,72,71,71,72,73,74,9,9,9,9
71,Lv71,71,3720,84990,73,72,74,73,74,72,75,74,73,72,72,73,74,75,10,10,10,10
72,Lv72,72,3750,88740,74,73,75,74,75,73,76,75,74,73,73,74,75,76,10,10,10,10
73,Lv73,73,3780,92520,75,74,76,75,76,74,77,76,75,74,74,75,76,77,10,10,10,10
74,Lv74,74,3810,96330,76,75,77,76,77,75,78,77,76,75,75,76,77,78,10,10,10,10
75,Lv75,75,3840,100170,77,76,78,77,78,76,79,78,77,76,76,77,78,79,10,10,10,10
76,Lv76,76,3870,104040,78,77,79,78,79,77,80,79,78,77,77,78,79,80,10,10,10,10
77,Lv77,77,3900,107940,79,78,80,79,80,78,81,80,79,78,78,79,80,81,10,10,10,10
78,Lv78,78,3930,111870,80,79,81,80,81,79,82,81,80,79,79,80,81,82,10,10,10,10
79,Lv79,79,3960,115830,81,80,82,81,82,80,83,82,81,80,80,81,82,83,10,10,10,10
80,Lv80,80,3990,119820,82,81,83,82,83,81,84,83,82,81,81,82,83,84,10,10,10,10
81,Lv81,81,4920,124740,83,82,84,83,84,82,85,84,83,82,82,83,84,85,11,11,11,11
82,Lv82,82,4950,129690,84,83,85,84,85,83,86,85,84,83,83,84,85,86,11,11,11,11
83,Lv83,83,4980,134670,85,84,86,85,86,84,87,86,85,84,84,85,86,87,11,11,11,11
84,Lv84,84,5010,139680,86,85,87,86,87,85,88,87,86,85,85,86,87,88,11,11,11,11
85,Lv85,85,5040,144720,87,86,88,87,88,86,89,88,87,86,86,87,88,89,11,11,11,11
86,Lv86,86,5070,149790,88,87,89,88,89,87,90,89,88,87,87,88,89,90,11,11,11,11
87,Lv87,87,5100,154890,89,88,90,89,90,88,91,90,89,88,88,89,90,91,11,11,11,11
88,Lv88,88,5130,160020,90,89,91,90,91,89,92,91,90,89,89,90,91,92,11,11,11,11
89,Lv89,89,5160,165180,91,90,92,91,92,90,93,92,91,90,90,91,92,93,11,11,11,11
90,Lv90,90,5190,170370,92,91,93,92,93,91,94,93,92,91,91,92,93,94,11,11,11,11
91,Lv91,91,7230,177600,93,92,94,93,94,92,95,94,93,92,92,93,94,95,12,12,12,12
92,Lv92,92,7260,184860,94,93,95,94,95,93,96,95,94,93,93,94,95,96,12,12,12,12
93,Lv93,93,7290,192150,95,94,96,95,96,94,97,96,95,94,94,95,96,97,12,12,12,12
94,Lv94,94,7320,199470,96,95,97,96,97,95,98,97,96,95,95,96,97,98,12,12,12,12
95,Lv95,95,7350,206820,97,96,98,97,98,96,99,98,97,96,96,97,98,99,12,12,12,12
96,Lv96,96,7380,214200,98,97,99,98,99,97,100,99,98,97,97,98,99,100,12,12,12,12
97,Lv97,97,7410,221610,99,98,100,99,100,98,101,100,99,98,98,99,100,101,12,12,12,12
98,Lv98,98,7440,229050,100,99,101,100,101,99,102,101,100,99,99,100,101,102,12,12,12,12
99,Lv99,99,7470,236520,101,100,102,101,102,100,103,102,101,100,100,101,102,103,12,12,12,12
